Timestamp,P99_Latency,Queue_Size,Replica_Count
2026-06-05T21:39:10,nan,N/A,1
2026-06-05T21:39:26,0.24589999999999998,99.0,1
2026-06-05T21:39:41,0.24532352941176472,N/A,2
2026-06-05T21:39:57,0.24532352941176472,N/A,3
2026-06-05T21:40:12,0.2453235294117647,N/A,4
2026-06-05T21:40:27,nan,N/A,5
2026-06-05T21:40:43,nan,N/A,5
2026-06-05T21:40:58,nan,N/A,5
2026-06-05T21:41:14,nan,N/A,5
2026-06-05T21:41:29,nan,N/A,5
2026-06-05T21:41:44,nan,N/A,5
2026-06-05T21:42:00,nan,N/A,5
2026-06-05T21:42:15,nan,N/A,5
2026-06-05T21:42:30,nan,N/A,5
2026-06-05T21:42:46,nan,N/A,5
2026-06-05T21:43:01,nan,N/A,5
2026-06-05T21:43:17,nan,N/A,5
2026-06-05T21:43:32,nan,N/A,5
2026-06-05T21:43:47,nan,N/A,5
2026-06-05T21:44:03,nan,N/A,5
